,model,method,mean_tbc,std_tbc,mean_wiki,std_wiki,self n=2,self n=3,self n=4,WT103 n=2,WT103 n=3,WT103 n=4,TBC n=2,TBC n=3,TBC n=4
0,"/max_iter=100,std_len=0,init_mask_prob=0,temperature=0.1,sample=False,top_k=0",Attention-1,0.038,0.003,0.049,0.006,0.5449640287769785,0.7746807848022423,0.9003564484769929,0.4631294964028777,0.7365306758019309,0.8869086195722619,0.5017985611510791,0.7714107754593584,0.9113739468567725
1,"/max_iter=100,std_len=0,init_mask_prob=0,temperature=0.1,sample=True,top_k=0",Attention-1,0.039,0.004,0.051,0.004,0.5587455830388692,0.7858453072454906,0.9087730451366814,0.47762073027090696,0.7564964842555794,0.898283534647171,0.5167844522968198,0.7902782023845919,0.9229179910998093
2,"/max_iter=100,std_len=0,init_mask_prob=0,temperature=0.1,sample=True,top_k=100",Attention-1,0.040999999999999995,0.004,0.049,0.006,0.5682051282051283,0.8047148288973384,0.9239525691699605,0.4887912087912088,0.7685171102661597,0.9040316205533597,0.521025641025641,0.8001520912547528,0.929802371541502
3,"/max_iter=100,std_len=0,init_mask_prob=0,temperature=1,sample=False,top_k=0",Attention-1,0.040999999999999995,0.005,0.05,0.006999999999999999,0.5643593960233219,0.7965522596676503,0.9093553078041687,0.4773508745701899,0.7501164777139308,0.8946518015834545,0.514875168186575,0.7895635968318062,0.9203425432218452
4,"/max_iter=100,std_len=0,init_mask_prob=0,temperature=1,sample=True,top_k=0",Attention-1,0.019,0.0,0.02,0.001,0.8526767744532403,0.9662640566430654,0.9922335682439235,0.7739165436736885,0.9457170623351382,0.9860491874011218,0.8014222460754059,0.9598778286824934,0.9916582770027327
5,"/max_iter=100,std_len=0,init_mask_prob=0,temperature=1,sample=True,top_k=100",Attention-1,0.027999999999999997,0.003,0.034,0.002,0.7297972785337407,0.9170023014959724,0.9771709937332139,0.627048042210497,0.8804660529344074,0.9653834676216055,0.6731463482366009,0.9076524741081703,0.9792599224112205
6,"/max_iter=100,std_len=0,init_mask_prob=0,temperature=10,sample=False,top_k=0",Attention-1,0.039,0.002,0.048,0.001,0.5624437105974182,0.7861821584529008,0.906361570918533,0.47673371359951966,0.7437616968184654,0.8945147679324894,0.5157610327229061,0.7827510917030568,0.9182083739045764
7,"/max_iter=100,std_len=0,init_mask_prob=0,temperature=10,sample=True,top_k=0",Attention-1,0.009000000000000001,0.0,0.01,0.0,0.9506435086842434,0.992003095575906,0.9985339197654272,0.9186555041859302,0.9891654843286469,0.9981340797014527,0.9321504435836562,0.9916161485876435,0.9985339197654272
8,"/max_iter=100,std_len=0,init_mask_prob=0,temperature=10,sample=True,top_k=100",Attention-1,0.017,0.001,0.018000000000000002,0.0,0.845778364116095,0.9702592087312415,0.9937853107344633,0.7783641160949868,0.9542974079126876,0.988135593220339,0.807915567282322,0.9671214188267394,0.993361581920904
9,"/max_iter=100,std_len=0,init_mask_prob=1,temperature=0.1,sample=False,top_k=0",Attention-1,0.10099999999999999,0.013000000000000001,0.061,0.005,0.1479104264726858,0.30146298211910744,0.4553256704980843,0.14363143631436315,0.3527412442736811,0.5293486590038314,0.1479104264726858,0.3655977538052313,0.5454406130268199
