n_sentences,batch_size,avg_len,max_len,generation_method,masked_portion,max_iter,std_len,init_mask_prob,temperature,sample,top_k,mean_tbc,std_tbc,mean_wiki,std_wiki,count
50,10,40,50,parallel,1,100,5,0,1,True,100,0.037,0.003,0.045,0.006,5
50,10,40,50,parallel,1,100,5,0,10,False,0,0.051,0.002,0.062,0.004,5
50,10,40,50,parallel,1,100,5,0,10,True,0,0.009,0.000,0.009,0.000,5
50,10,40,50,parallel,1,100,5,0,10,True,100,0.019,0.001,0.022,0.001,5
50,10,40,50,parallel,1,100,5,1,0.1,False,0,0.101,0.083,0.076,0.029,5
50,10,40,50,parallel,1,100,5,1,0.1,True,0,0.103,0.035,0.062,0.012,5
50,10,40,50,parallel,1,100,5,1,0.1,True,100,0.099,0.048,0.066,0.004,5
50,10,40,50,parallel,1,100,5,1,1,False,0,0.146,0.070,0.069,0.021,5
50,10,40,50,parallel,1,100,5,1,1,True,0,0.052,0.005,0.052,0.006,5
50,10,40,50,parallel,1,100,5,1,1,True,100,0.075,0.003,0.065,0.006,5
50,10,40,50,parallel,1,100,5,1,10,False,0,0.182,0.119,0.047,0.007,5
50,10,40,50,parallel,1,100,5,1,10,True,0,0.009,0.000,0.010,0.000,5
