n_sentences,batch_size,avg_len,max_len,generation_method,masked_portion,max_iter,std_len,init_mask_prob,temperature,sample,top_k,mean_tbc,std_tbc,mean_wiki,std_wiki,count
50,10,40,50,sequential,1,500,5,0,10,False,0,0.065,0.005,0.073,0.002,5
50,10,40,50,sequential,1,500,5,0,10,True,0,0.009,0.000,0.010,0.000,5
50,10,40,50,sequential,1,500,5,0,10,True,100,0.024,0.002,0.024,0.002,5
50,10,40,50,sequential,1,500,5,1,0.1,False,0,0.293,0.098,0.118,0.035,5
50,10,40,50,sequential,1,500,5,1,0.1,True,0,0.275,0.039,0.102,0.011,5
50,10,40,50,sequential,1,500,5,1,0.1,True,100,0.295,0.035,0.106,0.007,5
50,10,40,50,sequential,1,500,5,1,1,False,0,0.261,0.059,0.113,0.007,5
50,10,40,50,sequential,1,500,5,1,1,True,0,0.078,0.015,0.057,0.001,5
50,10,40,50,sequential,1,500,5,1,1,True,100,0.115,0.021,0.062,0.008,5
50,10,40,50,sequential,1,500,5,1,10,False,0,0.360,0.052,0.132,0.018,5
50,10,40,50,sequential,1,500,5,1,10,True,0,0.009,0.001,0.010,0.001,5
50,10,40,50,sequential,1,500,5,1,10,True,100,0.027,0.003,0.026,0.001,5
