n_sentences,batch_size,avg_len,max_len,generation_method,masked_portion,max_iter,std_len,init_mask_prob,temperature,sample,top_k,mean_tbc,std_tbc,mean_wiki,std_wiki,count
50,10,40,50,parallel,0.15,500,5,0,1,True,0,0.042,0.005,0.048,0.006,5
50,10,40,50,parallel,0.15,500,5,0,1,True,100,0.052,0.007,0.064,0.007,5
50,10,40,50,parallel,0.15,500,5,0,10,False,0,0.056,0.004,0.080,0.003,5
50,10,40,50,parallel,0.15,500,5,0,10,True,0,0.009,0.001,0.010,0.000,5
50,10,40,50,parallel,0.15,500,5,0,10,True,100,0.022,0.001,0.023,0.002,5
50,10,40,50,parallel,0.15,500,5,1,0.1,False,0,0.084,0.033,0.071,0.021,5
50,10,40,50,parallel,0.15,500,5,1,0.1,True,0,0.136,0.063,0.055,0.004,5
50,10,40,50,parallel,0.15,500,5,1,0.1,True,100,0.121,0.021,0.054,0.011,5
50,10,40,50,parallel,0.15,500,5,1,1,False,0,0.066,0.016,0.058,0.026,5
50,10,40,50,parallel,0.15,500,5,1,1,True,0,0.063,0.006,0.073,0.002,5
50,10,40,50,parallel,0.15,500,5,1,1,True,100,0.081,0.009,0.072,0.005,5
50,10,40,50,parallel,0.15,500,5,1,10,False,0,0.159,0.124,0.062,0.028,5
50,10,40,50,parallel,0.15,500,5,1,10,True,0,0.008,0.000,0.009,0.000,5
50,10,40,50,parallel,0.15,500,5,1,10,True,100,0.028,0.002,0.027,0.002,5
