,model,method,Wiki R1 Prec,Wiki R1 Rec,Wiki R1 F1,Wiki R2 Prec,Wiki R2 Rec,Wiki R2 F1,Wiki R3 Prec,Wiki R3 Rec,Wiki R3 F1,Wiki R4 Prec,Wiki R4 Rec,Wiki R4 F1,TBC R1 Prec,TBC R1 Rec,TBC R1 F1,TBC R2 Prec,TBC R2 Rec,TBC R2 F1,TBC R3 Prec,TBC R3 Rec,TBC R3 F1,TBC R4 Prec,TBC R4 Rec,TBC R4 F1
0,"/max_iter=500,std_len=5,init_mask_prob=1,temperature=0.1,sample=True,top_k=0",Attention-1,0.33413848631239934,0.029272765747337236,0.05382968916018302,0.1188118811881188,0.005806877337048171,0.011072586070436338,0.018984641638225257,0.0008594715698393078,0.0016444928889587916,0.0012955765315565426,6.124020156774916e-05,0.00011695136306206602,0.33413848631239934,0.029272765747337236,0.05382968916018302,0.1188118811881188,0.005806877337048171,0.011072586070436338,0.018984641638225257,0.0008594715698393078,0.0016444928889587916,0.0012955765315565426,6.124020156774916e-05,0.00011695136306206602
0,"/max_iter=500,std_len=5,init_mask_prob=1,temperature=0.1,sample=True,top_k=100",Attention-1,0.3400974025974026,0.029554912887070607,0.054383800203131244,0.11496014714898835,0.005498936872204707,0.010495821791261881,0.018318965517241378,0.0008208436341161929,0.001571279865238964,0.001467620620069712,6.998880179171333e-05,0.0001336052435642916,0.3400974025974026,0.029554912887070607,0.054383800203131244,0.11496014714898835,0.005498936872204707,0.010495821791261881,0.018318965517241378,0.0008208436341161929,0.001571279865238964,0.001467620620069712,6.998880179171333e-05,0.0001336052435642916
0,"/max_iter=500,std_len=5,init_mask_prob=1,temperature=1,sample=False,top_k=0",Attention-1,0.3389687235841082,0.028285250758270437,0.052213540244938274,0.11583387410772227,0.0052349879023388815,0.010017255791143053,0.021891220943353645,0.0009367274412855377,0.001796578304145016,0.0013477088948787063,6.124020156774916e-05,0.00011715594098534142,0.3389687235841082,0.028285250758270437,0.052213540244938274,0.11583387410772227,0.0052349879023388815,0.010017255791143053,0.021891220943353645,0.0009367274412855377,0.001796578304145016,0.0013477088948787063,6.124020156774916e-05,0.00011715594098534142
0,"/max_iter=500,std_len=5,init_mask_prob=1,temperature=1,sample=True,top_k=0",Attention-1,0.41828478964401294,0.10940255343161459,0.17344142808024554,0.13226319978774212,0.014619840164234914,0.02632933944575995,0.017609126984126984,0.001371291718170581,0.0025444367328356942,0.0012331976815883586,8.748600223964165e-05,0.00016338010312981962,0.41828478964401294,0.10940255343161459,0.17344142808024554,0.13226319978774212,0.014619840164234914,0.02632933944575995,0.017609126984126984,0.001371291718170581,0.0025444367328356942,0.0012331976815883586,8.748600223964165e-05,0.00016338010312981962
0,"/max_iter=500,std_len=5,init_mask_prob=1,temperature=1,sample=True,top_k=100",Attention-1,0.4005111354508945,0.07737885307187699,0.12969968988471586,0.14658075852979938,0.014678495490871765,0.026684792544413704,0.019946298427311087,0.0015064894932014833,0.0028013958011764524,0.0013714000748036405,9.623460246360582e-05,0.0001798475381153252,0.4005111354508945,0.07737885307187699,0.12969968988471586,0.14658075852979938,0.014678495490871765,0.026684792544413704,0.019946298427311087,0.0015064894932014833,0.0028013958011764524,0.0013714000748036405,9.623460246360582e-05,0.0001798475381153252
0,"/max_iter=500,std_len=5,init_mask_prob=1,temperature=10,sample=False,top_k=0",Attention-1,0.3602430555555556,0.029272765747337236,0.05414573544859385,0.12969502407704656,0.005924187990321871,0.011330808307690716,0.020616271336732432,0.0008980995055624227,0.0017212173782534168,0.0007555723460521345,3.499440089585666e-05,6.688990458079023e-05,0.3602430555555556,0.029272765747337236,0.05414573544859385,0.12969502407704656,0.005924187990321871,0.011330808307690716,0.020616271336732432,0.0008980995055624227,0.0017212173782534168,0.0007555723460521345,3.499440089585666e-05,6.688990458079023e-05
0,"/max_iter=500,std_len=5,init_mask_prob=1,temperature=10,sample=True,top_k=0",Attention-1,0.25242984257357975,0.130069831417084,0.17167861016579553,0.00012297097884899163,1.4663831659212553e-05,2.6201143743123123e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.25242984257357975,0.130069831417084,0.17167861016579553,0.00012297097884899163,1.4663831659212553e-05,2.6201143743123123e-05,0.0,0.0,0.0,0.0,0.0,0.0
0,"/max_iter=500,std_len=5,init_mask_prob=1,temperature=10,sample=True,top_k=100",Attention-1,0.4862821948488242,0.12252239542921634,0.1957293336490707,0.04187568157033806,0.00563091135713762,0.009926967470280643,0.0003241841365895829,2.897095179233622e-05,5.318715412107978e-05,0.0,0.0,0.0,0.4862821948488242,0.12252239542921634,0.1957293336490707,0.04187568157033806,0.00563091135713762,0.009926967470280643,0.0003241841365895829,2.897095179233622e-05,5.318715412107978e-05,0.0,0.0,0.0
0,"/max_iter=100,std_len=0,init_mask_prob=0,temperature=0.1,sample=False,top_k=0",Parallel-1,0.29124236252545826,0.07060732171827608,0.11365958582225279,0.10382155158274561,0.009282205440281546,0.01704086426623847,0.019312362838332115,0.0012747218788627937,0.002391584804046893,0.002021952628538417,0.00012248040313549832,0.00023096866590198464,0.29124236252545826,0.07060732171827608,0.11365958582225279,0.10382155158274561,0.009282205440281546,0.01704086426623847,0.019312362838332115,0.0012747218788627937,0.002391584804046893,0.002021952628538417,0.00012248040313549832,0.00023096866590198464
0,"/max_iter=500,std_len=5,init_mask_prob=0,temperature=10,sample=True,top_k=0",Parallel-1,0.2530008002133902,0.13380828101855116,0.17504036456357272,0.00011983223487118035,1.4663831659212553e-05,2.612818536480142e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.2530008002133902,0.13380828101855116,0.17504036456357272,0.00011983223487118035,1.4663831659212553e-05,2.612818536480142e-05,0.0,0.0,0.0,0.0,0.0,0.0
0,"/max_iter=500,std_len=5,init_mask_prob=0,temperature=10,sample=True,top_k=100",Parallel-1,0.4186746987951807,0.1176553572688157,0.18369032199765964,0.043522654754307596,0.00500036659579148,0.00897014151582517,0.0,0.0,0.0,0.0,0.0,0.0,0.4186746987951807,0.1176553572688157,0.18369032199765964,0.043522654754307596,0.00500036659579148,0.00897014151582517,0.0,0.0,0.0,0.0,0.0,0.0
